City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Arenapolis,BR,-14.4503,-56.8461,87.458,53,82,3.0,broken clouds
121,Gornopravdinsk,RU,60.05,69.9,26.798000000000023,68,99,4.05,overcast clouds
122,Ciudad Bolivar,VE,8.1222,-63.5497,77.54000000000002,83,100,3.25,overcast clouds
123,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.36200000000005,69,100,0.24,overcast clouds
124,Shimoni,KE,-4.6476,39.3817,76.76600000000002,86,100,2.43,overcast clouds
125,Oussouye,SN,12.485,-16.5469,80.6,77,4,2.6,clear sky
126,Urucara,BR,-2.5364,-57.76,94.11800000000008,36,99,2.07,overcast clouds
127,Beroroha,MG,-21.6667,45.1667,77.46800000000009,59,45,3.05,light rain
128,Bambous Virieux,MU,-20.3428,57.7575,73.65200000000007,78,40,4.63,scattered clouds
129,Wamba,NG,8.9333,8.6,74.37200000000004,48,90,1.62,overcast clouds
130,Mahebourg,MU,-20.4081,57.7,73.68800000000005,78,40,4.63,scattered clouds
131,Codrington,AU,-38.2667,141.9667,52.88000000000004,92,100,6.02,overcast clouds
132,Zaysan,KZ,47.4667,84.8667,40.694000000000074,59,100,1.27,overcast clouds
133,Cayenne,GF,4.9333,-52.3333,80.63600000000008,89,100,0.0,moderate rain
134,Souillac,MU,-20.5167,57.5167,73.77800000000008,78,40,4.63,scattered clouds
135,Nalut,LY,30.3333,10.85,64.77800000000008,46,0,5.52,clear sky
136,Mgandu,TZ,-5.95,34.1333,70.37600000000009,41,100,4.87,overcast clouds
137,Taoudenni,ML,22.6783,-3.9836,84.48800000000006,11,100,4.28,overcast clouds
138,Namibe,AO,-15.1961,12.1522,71.40200000000007,77,13,1.17,few clouds
139,Ostrovnoy,RU,68.0531,39.5131,38.714000000000034,72,100,10.62,overcast clouds
140,Nantucket,US,41.2835,-70.0995,64.54400000000007,83,0,0.0,clear sky
141,Nkhotakota,MW,-12.9274,34.2961,78.47600000000008,60,7,2.34,clear sky
142,Kayerkan,RU,69.3497,87.7602,19.52600000000009,100,100,6.94,light snow
143,Grand-Santi,GF,4.25,-54.3833,80.816,75,100,1.22,overcast clouds
144,Sauda,NO,59.6506,6.3542,54.68000000000004,93,100,2.57,light rain
145,Vieques,PR,18.425,-65.8329,78.83600000000007,87,100,3.1,light rain
146,Erice,IT,38.037,12.5865,59.46800000000009,94,0,1.03,clear sky
147,Pitimbu,BR,-7.4706,-34.8086,81.19400000000007,74,79,5.18,broken clouds
148,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12400000000002,79,75,4.12,broken clouds
149,Margate,GB,51.3813,1.3862,60.908,90,56,1.34,broken clouds
150,Comodoro Rivadavia,AR,-45.8667,-67.5,57.056000000000026,26,20,5.66,few clouds
151,Loiza,PR,18.4313,-65.8802,78.80000000000001,92,100,2.91,light rain
152,Grand Gaube,MU,-20.0064,57.6608,73.79600000000005,68,100,2.24,overcast clouds
153,Irbit,RU,57.6705,63.071,29.804000000000052,56,100,5.53,overcast clouds
154,Abalak,RU,58.1286,68.5944,26.15,68,100,3.91,overcast clouds
155,Mogadishu,SO,2.0371,45.3438,78.76400000000004,80,6,4.08,light rain
156,Esna,EG,25.2934,32.554,75.21800000000009,41,74,3.95,broken clouds
157,Narsaq,GL,60.9167,-46.05,13.154000000000053,73,91,3.01,overcast clouds
158,Fochville,ZA,-26.4886,27.4939,66.63200000000002,60,100,2.51,light rain
159,Miedzychod,PL,52.5988,15.897,53.38399999999999,81,17,1.22,few clouds
160,Marsa Matruh,EG,31.3525,27.2453,68.19800000000004,68,0,2.06,clear sky
161,Pedernales,DO,18.0384,-71.744,84.50600000000003,65,85,6.23,overcast clouds
162,Touros,BR,-5.1989,-35.4608,78.08000000000004,72,15,5.58,few clouds
163,Beira,MZ,-19.8436,34.8389,76.73000000000005,81,0,3.59,clear sky
164,Catamarca,AR,-28.4696,-65.7852,73.77800000000008,27,0,3.58,clear sky
165,Springbok,ZA,-29.6643,17.8865,55.148000000000025,63,40,2.59,scattered clouds
166,Necochea,AR,-38.5473,-58.7368,50.648000000000025,66,25,9.98,scattered clouds
167,Moussoro,TD,13.6408,16.4901,85.65800000000002,15,98,6.43,overcast clouds
168,Nanortalik,GL,60.1432,-45.2371,25.86200000000006,69,98,4.59,overcast clouds
169,Anori,BR,-3.7728,-61.6442,91.41800000000009,49,100,0.72,light rain
170,Ribeira Grande,PT,38.5167,-28.7,60.78200000000002,58,20,4.47,few clouds
171,Safranbolu,TR,41.2508,32.6942,47.570000000000064,68,0,0.55,clear sky
172,Ornes,NO,66.8689,13.7078,39.30800000000001,73,100,2.95,overcast clouds
173,Normandin,CA,48.8333,-72.5321,61.10600000000003,41,9,5.14,clear sky
174,Sao Filipe,CV,14.8961,-24.4956,79.89800000000002,72,60,3.73,broken clouds
175,Samfya,ZM,-11.3649,29.5565,77.43200000000002,43,89,2.3,overcast clouds
176,Soligalich,RU,59.0778,42.2864,31.946000000000048,88,90,3.46,overcast clouds
177,Kidal,ML,18.4411,1.4078,76.83800000000005,16,0,4.89,clear sky
178,Verrettes,HT,19.05,-72.4667,82.56200000000007,74,78,1.37,moderate rain
179,Hualmay,PE,-11.0964,-77.6139,66.12800000000007,74,17,4.77,few clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09000000000003,89,96,11.3,overcast clouds
181,Quatre Cocos,MU,-20.2078,57.7625,73.50800000000001,79,100,6.28,overcast clouds
182,Tahta,EG,26.7693,31.5021,71.09600000000006,37,0,3.1,clear sky
183,Diepenbeek,BE,50.9078,5.4221,60.656000000000034,55,99,2.08,overcast clouds
184,Araouane,ML,18.9048,-3.5265,78.44000000000003,15,10,4.1,clear sky
185,Betare Oya,CM,5.6,14.0833,69.85400000000006,80,66,1.51,broken clouds
186,Chiplun,IN,17.5333,73.5167,68.0,62,0,1.69,clear sky
187,Lodeynoye Pole,RU,60.726,33.5531,33.15200000000008,73,100,7.32,overcast clouds
188,Hobyo,SO,5.3505,48.5268,79.41200000000006,75,19,4.3,few clouds
189,Harper,LR,4.375,-7.7169,77.82800000000006,88,73,3.28,light rain
190,Usakos,NA,-22.0,15.6,73.65200000000007,28,62,2.78,broken clouds
191,Safaga,EG,26.7292,33.9365,77.37800000000007,51,45,4.75,scattered clouds
192,Arzgir,RU,45.3728,44.2206,54.518000000000086,74,100,7.78,overcast clouds
193,Palm Coast,US,29.585,-81.2078,81.10400000000006,82,4,0.45,clear sky
194,Puerto Castilla,HN,16.0167,-85.9667,82.34600000000006,78,75,0.0,broken clouds
195,Mount Pleasant,US,32.7941,-79.8626,65.174,95,75,3.13,broken clouds
196,Kumo,NG,10.0447,11.2122,79.61000000000008,29,66,3.32,broken clouds
197,Georgetown,MY,5.4112,100.3354,77.95400000000006,98,20,5.14,heavy intensity rain
198,Pisco,PE,-13.7,-76.2167,67.01000000000008,72,8,4.12,haze
199,Dakar,SN,14.6937,-17.4441,81.48200000000003,77,94,2.98,overcast clouds
