City_ID,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed
160,Torit,SS,2022-10-29 16:38:47,4.4133,32.5678,61,100,0.74
161,Viedma,AR,2022-10-29 16:38:47,-40.8135,-62.9967,25,55,2.2
162,Neyshabur,IR,2022-10-29 16:38:48,36.2133,58.7958,38,95,3.02
163,Grand Gaube,MU,2022-10-29 16:38:48,-20.0064,57.6608,70,5,1.34
164,San Carlos De Bariloche,AR,2022-10-29 16:38:48,-41.1456,-71.3082,86,75,1.03
165,Basse,DE,2022-10-29 16:38:49,52.5518,9.5069,82,75,2.57
166,Havre-Saint-Pierre,CA,2022-10-29 16:38:49,50.2334,-63.5986,71,0,9.77
167,Karasjok,NO,2022-10-29 16:38:50,69.4719,25.5112,84,100,10.72
168,Oil City,US,2022-10-29 16:35:11,41.4339,-79.7064,59,0,0.0
169,Marsh Harbour,BS,2022-10-29 16:35:37,26.5412,-77.0636,70,24,8.95
170,Bandundu,CD,2022-10-29 16:38:50,-3.3167,17.3667,70,67,1.1
171,Vila Franca Do Campo,PT,2022-10-29 16:38:51,37.7167,-25.4333,58,85,3.01
172,Ribeira Grande,PT,2022-10-29 16:38:51,38.5167,-28.7,68,40,4.63
173,Darnah,LY,2022-10-29 16:38:51,32.767,22.6367,68,13,4.38
174,Taltal,CL,2022-10-29 16:38:24,-25.4,-70.4833,68,22,2.82
175,Puerto Gaitan,CO,2022-10-29 16:39:13,4.3133,-72.0816,62,92,3.38
176,Molepolole,BW,2022-10-29 16:39:14,-24.4066,25.4951,40,25,6.35
177,Surgut,RU,2022-10-29 16:39:14,61.25,73.4167,79,0,4.02
178,Constantine,DZ,2022-10-29 16:39:15,36.365,6.6147,17,0,2.57
179,Hamilton,US,2022-10-29 16:36:07,39.1834,-84.5333,49,0,2.57
180,Adrar,MR,2022-10-29 16:39:15,20.5022,-10.0711,7,24,5.55
181,Klaksvik,FO,2022-10-29 16:39:16,62.2266,-6.589,97,100,7.81
182,Mizdah,LY,2022-10-29 16:39:17,31.4451,12.9801,50,10,4.53
183,Soyo,AO,2022-10-29 16:39:17,-6.1349,12.3689,81,84,4.07
184,Santa Vitoria Do Palmar,BR,2022-10-29 16:39:17,-33.5189,-53.3681,38,2,4.73
